"",year,number,count
25,2024,26,15
30,2024,31,15
27,2024,28,16
17,2024,18,18
40,2024,41,18
38,2024,39,20
20,2023,21,52
4,2023,5,52
32,2023,33,52
24,2023,25,55
3,2023,4,56
17,2023,18,60
32,2022,33,56
35,2022,36,61
6,2022,7,59
1,2022,2,57
24,2022,25,54
20,2022,21,56
36,2021,37,54
26,2021,27,52
8,2021,9,52
23,2021,24,53
3,2021,4,53
6,2021,7,54
30,2020,31,51
41,2020,42,51
11,2020,12,53
35,2020,36,55
19,2020,20,56
8,2020,9,56
4,2019,5,61
21,2019,22,56
27,2019,28,57
31,2019,32,52
36,2019,37,55
3,2019,4,52
30,2018,31,50
34,2018,35,50
27,2018,28,51
29,2018,30,51
2,2018,3,52
35,2018,36,58
13,2017,14,52
11,2017,12,55
23,2017,24,53
14,2017,15,58
21,2017,22,51
28,2017,29,51
3,2016,4,54
24,2016,25,56
25,2016,26,55
20,2016,21,56
33,2016,34,53
4,2016,5,53
9,2015,10,43
20,2015,21,44
36,2015,37,44
12,2015,13,48
40,2015,41,50
3,2015,4,50
23,2014,24,39
29,2014,30,51
41,2014,42,39
34,2014,35,39
35,2014,36,37
9,2014,10,38
38,2013,39,23
39,2013,40,23
40,2013,41,26
26,2013,27,27
8,2013,9,31
22,2013,23,32
23,2012,24,30
31,2012,32,23
11,2012,12,24
10,2012,11,27
20,2012,21,23
38,2012,39,23
9,2011,10,24
16,2011,17,25
35,2011,36,25
28,2011,29,26
31,2011,32,27
17,2011,18,28
18,2010,19,27
27,2010,28,23
20,2010,21,24
11,2010,12,24
6,2010,7,26
16,2010,17,26
0,2009,1,28
2,2009,3,22
10,2009,11,22
27,2009,28,27
29,2009,30,22
30,2009,31,22
16,2008,17,19
22,2008,23,21
8,2008,9,20
27,2008,28,21
41,2008,42,18
40,2008,41,18
26,2007,27,16
40,2007,41,16
22,2007,23,17
14,2007,15,17
0,2007,1,17
4,2007,5,21
37,2006,38,17
40,2006,41,18
31,2006,32,18
21,2006,22,16
14,2006,15,17
1,2006,2,16
30,2005,31,17
19,2005,20,18
38,2005,39,18
14,2005,15,19
6,2005,7,19
3,2005,4,22
8,2004,9,21
37,2004,38,17
14,2004,15,17
18,2004,19,17
2,2004,3,18
10,2004,11,20
14,2003,15,16
10,2003,11,16
0,2003,1,16
15,2003,16,18
6,2003,7,20
7,2003,8,18
5,2002,6,16
30,2002,31,16
2,2002,3,16
16,2002,17,16
6,2002,7,19
39,2002,40,20
41,2001,42,20
33,2001,34,17
1,2001,2,20
9,2001,10,19
29,2001,30,17
23,2001,24,17
16,2000,17,7
20,2000,21,7
35,2000,36,7
40,2000,41,8
28,2000,29,8
32,2000,33,9
0,1998,5,2
18,1998,38,1
11,1998,22,1
13,1998,28,2
3,1998,11,2
19,1998,39,2
29,1997,30,20
25,1997,26,19
0,1997,1,19
6,1997,7,18
38,1997,39,17
14,1997,15,17
9,1996,10,15
28,1996,29,17
36,1996,37,18
29,1996,30,19
20,1996,21,19
21,1996,22,20
3,1995,4,20
6,1995,7,17
16,1995,17,17
21,1995,22,18
19,1995,20,16
12,1995,13,16
14,1994,15,9
17,1994,18,9
24,1994,25,9
16,1994,17,10
40,1994,41,10
35,1994,36,10
29,1993,30,9
28,1993,29,9
10,1993,11,9
1,1993,2,10
18,1993,19,10
12,1993,13,12
11,1992,12,11
19,1992,20,10
22,1992,23,10
18,1992,19,11
8,1992,9,10
25,1992,26,9
40,1991,41,13
0,1991,1,10
20,1991,21,12
36,1991,37,9
39,1991,40,10
1,1991,2,10
16,1990,19,10
13,1990,16,11
14,1990,17,12
30,1990,33,12
21,1990,24,12
28,1990,31,12
10,1989,11,8
4,1989,5,9
22,1989,23,9
5,1989,6,12
25,1989,26,8
18,1989,19,8
28,1988,29,10
3,1988,4,11
1,1988,2,11
27,1988,28,12
25,1988,26,10
6,1988,7,9
21,1987,22,8
30,1987,31,9
9,1987,10,9
2,1987,3,10
25,1987,26,10
24,1987,25,11
27,1986,28,12
17,1986,18,11
0,1986,1,9
36,1986,37,9
22,1986,23,9
14,1986,15,8
3,1985,4,8
41,1985,42,8
26,1985,27,9
33,1985,34,9
18,1985,19,10
20,1985,21,10
24,1984,25,9
15,1984,16,11
36,1984,37,9
2,1984,3,11
41,1984,42,8
39,1984,40,8
5,1983,6,9
17,1983,18,9
37,1983,38,9
29,1983,30,9
34,1983,35,10
19,1983,20,11
8,1982,9,9
28,1982,29,9
5,1982,6,10
38,1982,39,10
36,1982,37,10
12,1982,13,10
29,1981,30,9
33,1981,34,10
4,1981,5,11
14,1981,15,8
22,1981,23,8
25,1981,26,11
